split_id,accuracy,auc_roc,f1,n_train,n_test,n_features
0,0.964602,0.988095,0.972222,456,113,30
1,0.955752,0.997653,0.965517,456,113,30
2,0.982301,0.976190,0.986111,456,113,30
3,0.964602,0.980885,0.971429,456,113,30
4,0.955752,0.979879,0.965035,456,113,30
