split_id,tree,depth,node_id,feature_idx,binned_gain,exact_gain,retention,n_samples_in_node
1,0,2,5,11,12.34407047,12.34407089,0.99999997,44
1,1,1,1,11,16.73247307,16.73247124,1.00000000,134
1,1,1,2,2,13.22625011,13.22625122,0.99999992,104
1,1,2,3,3,4.17742749,4.17742762,0.99999997,98
1,1,2,4,1,8.19069745,8.19069741,1.00000000,36
1,1,2,5,4,2.76043235,5.35118155,0.51585474,34
1,1,2,6,9,0.55096613,1.49865782,0.36763971,70
1,2,1,1,11,5.21433071,5.21433035,1.00000000,124
1,2,1,2,12,11.40253095,11.40252961,1.00000000,114
1,2,2,3,9,2.95290250,2.95290260,0.99999997,94
1,2,2,4,10,3.22593486,3.22593484,1.00000000,30
1,2,2,5,11,7.87474437,7.87474391,1.00000000,44
1,2,2,6,9,0.33775764,1.21016804,0.27909979,70
1,3,1,1,11,10.62981371,10.62981428,0.99999995,134
1,3,1,2,2,7.55778055,7.55778216,0.99999979,104
1,3,2,3,3,3.45294794,3.45294815,0.99999994,98
1,3,2,4,1,6.28186156,6.28186259,0.99999984,36
1,3,2,5,7,2.55676410,2.55676420,0.99999996,34
1,3,2,6,12,0.30938402,0.30938391,1.00000000,70
1,4,1,1,12,13.75635869,13.75635982,0.99999992,145
1,4,1,2,2,6.15819890,6.15819942,0.99999992,93
1,4,2,3,9,3.50898017,3.50898013,1.00000000,103
1,4,2,4,7,3.59682237,4.03465199,0.89148268,42
1,4,2,5,10,2.58784730,2.58784728,1.00000000,30
1,4,2,6,9,0.64859025,0.64859053,0.99999957,63
1,5,1,1,12,3.41957323,3.41957280,1.00000000,124
1,5,1,2,11,5.89484926,5.89484964,0.99999994,114
1,5,2,3,11,3.28261085,3.28261053,1.00000000,94
1,5,2,4,10,2.06337233,2.06337207,1.00000000,30
1,5,2,5,12,6.43017173,6.43017235,0.99999990,51
1,5,2,6,1,0.62375186,0.62375186,0.99999999,63
1,6,1,1,12,8.88023514,8.88023488,1.00000000,145
1,6,1,2,9,4.18983290,5.54628716,0.75543021,93
1,6,2,3,9,3.02734339,3.02734334,1.00000000,103
1,6,2,4,7,2.95507978,3.36704534,0.87764776,42
1,6,2,5,6,3.28924497,3.28924505,0.99999998,31
1,6,2,6,2,0.62704896,0.62704875,1.00000000,62
1,7,1,1,1,3.25511927,3.25511920,1.00000000,124
1,7,1,2,9,4.41479054,4.41479017,1.00000000,114
1,7,2,4,0,4.01480893,5.55469442,0.72277764,83
1,7,2,5,11,1.54877729,1.54877738,0.99999994,40
1,7,2,6,3,2.41429555,2.41429547,1.00000000,74
1,8,1,1,12,6.50222045,6.50222002,1.00000000,145
1,8,1,2,6,3.68432495,3.68432484,1.00000000,93
1,8,2,3,0,2.78818361,2.78818322,1.00000000,103
1,8,2,4,7,2.21373365,2.54865785,0.86858801,42
1,8,2,5,9,2.36216983,2.36216955,1.00000000,33
1,8,2,6,1,1.03562665,1.03562674,0.99999991,60
1,9,1,1,1,2.57104925,2.57104971,0.99999982,124
1,9,1,2,8,3.37648968,3.37648967,1.00000000,114
1,9,2,4,4,3.37710431,5.86342403,0.57596113,83
1,9,2,5,12,2.22294763,2.22294752,1.00000000,50
1,9,2,6,9,0.80083303,0.80083264,1.00000000,64
1,10,1,1,12,4.54799715,4.54799709,1.00000000,145
1,10,1,2,6,3.00923551,3.00923533,1.00000000,93
1,10,2,3,0,2.49258286,2.49258328,0.99999983,103
1,10,2,4,8,1.83221607,1.83221618,0.99999994,42
1,10,2,5,9,1.77985364,1.77985359,1.00000000,33
1,10,2,6,12,0.99658941,0.99658950,0.99999992,60
1,11,1,1,11,2.21046636,2.21046625,1.00000000,107
1,11,1,2,8,3.08653763,3.08653765,0.99999999,131
1,11,2,3,2,1.25527795,1.25527804,0.99999993,92
1,11,2,4,9,0.70209430,0.70209424,1.00000000,15
1,11,2,5,1,2.96393453,2.96393429,1.00000000,72
1,11,2,6,3,2.01770959,2.01770956,1.00000000,59
