split_id,accuracy,auc_roc,f1,n_train,n_test,n_features
0,0.744943,0.823661,0.756647,56554,14138,21
1,0.740557,0.819558,0.752997,56554,14138,21
2,0.748762,0.826087,0.761033,56554,14138,21
3,0.743740,0.819694,0.755747,56554,14138,21
4,0.745367,0.817108,0.758130,56554,14138,21
