split_id,accuracy,auc_roc,f1,n_train,n_test,n_features
0,0.798701,0.873889,0.680412,614,154,8
1,0.733766,0.822037,0.528736,614,154,8
2,0.746753,0.800741,0.580645,614,154,8
3,0.779221,0.864815,0.622222,614,154,8
4,0.766234,0.826296,0.625000,614,154,8
