split_id,c2s_bytes,s2a_bytes,broadcast_bytes,total_bytes,hide_path
0,648851520,1897104,5107200,655855824,false
1,648851520,1972176,5107200,655930896,false
2,648851520,1934640,5143680,655929840,false
3,648851520,1897104,5034240,655782864,false
4,648851520,1934640,5143680,655929840,false
