split_id,accuracy,auc_roc,f1,n_train,n_test,n_features
0,0.785714,0.857315,0.645161,614,154,8
1,0.733766,0.792870,0.506024,614,154,8
2,0.740260,0.796574,0.545455,614,154,8
3,0.766234,0.854074,0.550000,614,154,8
4,0.740260,0.807407,0.487179,614,154,8
