split_id,accuracy,auc_roc,f1,n_train,n_test,n_features
0,0.744943,0.823661,0.756647,56554,14138,21
1,0.740557,0.819558,0.752997,56554,14138,21
2,0.747418,0.825425,0.759448,56554,14138,21
3,0.743740,0.819694,0.755747,56554,14138,21
4,0.744023,0.817156,0.756804,56554,14138,21
