split_id,n_trees,accuracy,auc_roc,f1
0,1,0.721814,0.793674,0.736023
0,2,0.733413,0.802625,0.750777
0,3,0.733413,0.806989,0.749218
0,4,0.734404,0.807932,0.749683
0,5,0.735323,0.810238,0.749498
0,6,0.735465,0.811660,0.750167
0,7,0.737516,0.814358,0.751423
0,8,0.736809,0.815571,0.751685
0,9,0.739921,0.817165,0.754195
0,10,0.740204,0.818234,0.753341
0,11,0.742891,0.819966,0.755565
0,12,0.744165,0.821084,0.756808
0,13,0.744094,0.822006,0.756364
0,14,0.743882,0.822731,0.755816
0,15,0.744943,0.823661,0.756647
1,1,0.725775,0.793579,0.740269
1,2,0.731221,0.801117,0.747004
1,3,0.734828,0.804693,0.749214
1,4,0.733343,0.806294,0.745064
1,5,0.735253,0.809050,0.748573
1,6,0.735748,0.810527,0.752057
1,7,0.736526,0.811946,0.750919
1,8,0.735677,0.813740,0.748942
1,9,0.736384,0.814468,0.750586
1,10,0.737516,0.816045,0.750789
1,11,0.738789,0.816741,0.752430
1,12,0.738789,0.817810,0.751196
1,13,0.739426,0.818519,0.751919
1,14,0.739709,0.818869,0.752055
1,15,0.740557,0.819558,0.752997
2,1,0.728038,0.794665,0.734186
2,2,0.733272,0.803691,0.747641
2,3,0.734757,0.807731,0.749063
2,4,0.735111,0.808844,0.750250
2,5,0.735818,0.811441,0.746419
2,6,0.736667,0.812963,0.750319
2,7,0.737870,0.813998,0.751775
2,8,0.739779,0.817373,0.751099
2,9,0.741689,0.819089,0.754768
2,10,0.742396,0.820506,0.754913
2,11,0.744518,0.822556,0.757356
2,12,0.745509,0.823722,0.758621
2,13,0.747489,0.824629,0.760435
2,14,0.748126,0.825463,0.760669
2,15,0.748762,0.826087,0.761033
3,1,0.729806,0.793036,0.741787
3,2,0.732706,0.800799,0.741182
3,3,0.734474,0.803063,0.745111
3,4,0.735818,0.804183,0.747857
3,5,0.736384,0.806216,0.748295
3,6,0.735182,0.807127,0.746238
3,7,0.736526,0.809081,0.747166
3,8,0.736526,0.812060,0.748192
3,9,0.738152,0.812965,0.751277
3,10,0.737799,0.813821,0.750320
3,11,0.740628,0.815404,0.751978
3,12,0.739355,0.816539,0.752402
3,13,0.741052,0.817615,0.753285
3,14,0.741831,0.818375,0.754043
3,15,0.743740,0.819694,0.755747
4,1,0.724148,0.789965,0.739130
4,2,0.727048,0.797252,0.738992
4,3,0.731928,0.802351,0.746488
4,4,0.728462,0.803577,0.741255
4,5,0.732706,0.805133,0.747882
4,6,0.735182,0.807029,0.749766
4,7,0.735465,0.807917,0.750234
4,8,0.736455,0.809157,0.752885
4,9,0.737092,0.811245,0.751521
4,10,0.740274,0.812915,0.755004
4,11,0.739426,0.814077,0.753579
4,12,0.741831,0.814978,0.754506
4,13,0.741972,0.815576,0.753979
4,14,0.744235,0.816509,0.756466
4,15,0.745367,0.817108,0.758130
