dataset,privateboost,xgboost_matched,xgboost_default
Heart Disease,0.8833333333333333,0.8333333333333334,0.7666666666666667
Breast Cancer,0.9649122807017544,0.956140350877193,0.956140350877193
Pima Diabetes,0.7142857142857143,0.7337662337662337,0.7337662337662337
