split_id,accuracy,auc_roc,f1,n_train,n_test,n_features
0,0.747348,0.826413,0.758746,56554,14138,21
1,0.741406,0.820746,0.754334,56554,14138,21
2,0.750601,0.828623,0.762367,56554,14138,21
3,0.745367,0.821848,0.757576,56554,14138,21
4,0.745721,0.819645,0.759129,56554,14138,21
