split_id,accuracy,auc_roc,f1,n_train,n_test,n_features
0,0.744801,0.820653,0.755556,56554,14138,21
1,0.711345,0.722691,0.708895,56554,14138,21
2,0.746074,0.822991,0.758217,56554,14138,21
3,0.739992,0.816433,0.750881,56554,14138,21
4,0.739072,0.814154,0.751532,56554,14138,21
