split_id,n_train,wall_s,client_stats_s,client_grad_s,server_s,grad_share_calls,hide_path,n_shareholders,threshold
0,456,0.730860,0.000763,0.585022,0.143574,20520,true,3,2
1,456,0.653263,0.000427,0.518172,0.133237,20520,true,3,2
2,456,0.655249,0.000424,0.520669,0.132698,20520,true,3,2
3,456,0.685991,0.000430,0.545473,0.138571,20520,true,3,2
4,456,0.735896,0.000485,0.584027,0.149724,20520,true,3,2
