split_id,accuracy,auc_roc,f1,n_train,n_test,n_features
0,0.964602,0.981556,0.972222,456,113,30
1,0.973451,0.997988,0.979021,456,113,30
2,0.982301,0.976526,0.986111,456,113,30
3,0.973451,0.989269,0.978723,456,113,30
4,0.964602,0.979376,0.972222,456,113,30
