split_id,tree,depth,node_id,feature_idx,binned_gain,exact_gain,retention,n_samples_in_node
1,0,1,1,11,8.55300422,8.55300436,0.99999998,124
1,0,1,2,12,21.47895230,21.47895317,0.99999996,114
1,0,2,3,9,3.78821425,3.78821441,0.99999996,94
1,0,2,4,10,4.09383176,4.09383193,0.99999996,30
1,0,2,5,11,12.34407047,12.34407089,0.99999997,44
1,0,2,6,9,0.87106209,0.87106238,0.99999967,70
1,1,1,1,11,16.73247307,16.73247124,1.00000000,134
1,1,1,2,2,13.43476142,13.43476089,1.00000000,104
1,1,2,3,3,4.17742749,4.17742762,0.99999997,98
1,1,2,4,1,8.19069745,8.19069741,1.00000000,36
1,1,2,5,4,3.51952360,5.35118155,0.65770962,34
1,1,2,6,9,0.45735425,0.45735449,0.99999948,70
1,2,1,1,0,5.29416007,5.29416022,0.99999997,124
1,2,1,2,12,11.59523982,11.59523785,1.00000000,114
1,2,2,3,12,2.33022325,2.33022276,1.00000000,76
1,2,2,4,1,4.21244797,4.21244829,0.99999993,48
1,2,2,5,11,7.87474437,7.87474391,1.00000000,44
1,2,2,6,9,0.28978537,0.28978418,1.00000000,70
1,3,1,1,12,16.74793084,16.74792845,1.00000000,145
1,3,1,2,9,6.53771004,6.53770931,1.00000000,93
1,3,2,3,9,3.83951251,3.83951234,1.00000000,103
1,3,2,4,7,4.34518701,4.66217847,0.93200787,42
1,3,2,5,1,3.73634124,3.73634124,1.00000000,32
1,3,2,6,10,0.38568677,0.38568684,0.99999981,61
1,4,1,1,0,3.99368270,3.99368304,0.99999991,124
1,4,1,2,12,7.67830582,7.67830729,0.99999981,114
1,4,2,3,7,2.13992111,2.53204532,0.84513539,76
1,4,2,4,1,2.97136714,2.97136673,1.00000000,48
1,4,2,5,11,8.10686325,8.10686345,0.99999998,52
1,4,2,6,9,0.53446649,0.53446709,0.99999887,62
1,5,1,1,4,3.66576552,5.10236156,0.71844488,124
1,5,1,2,12,6.31009591,6.31009544,1.00000000,114
1,5,2,3,0,0.21463777,0.21463781,0.99999983,47
1,5,2,4,1,3.93594861,3.93594889,0.99999993,77
1,5,2,5,11,6.55616301,6.55616206,1.00000000,52
1,5,2,6,9,0.50748667,0.50748682,0.99999972,62
1,6,1,1,12,9.77388518,9.77388480,1.00000000,145
1,6,1,2,6,3.95458743,3.95458717,1.00000000,93
1,6,2,3,9,3.08890340,3.08890336,1.00000000,103
1,6,2,4,7,2.57605897,2.77638006,0.92784810,42
1,6,2,5,9,2.70843177,2.70843191,0.99999995,33
1,6,2,6,1,0.83852243,0.83852215,1.00000000,60
1,7,1,1,0,2.91061901,2.91061881,1.00000000,124
1,7,1,2,12,4.47202473,4.47202423,1.00000000,114
1,7,2,3,7,1.76808753,2.08421742,0.84832202,76
1,7,2,4,0,2.00728516,2.13062262,0.94211201,48
1,7,2,5,11,4.00043505,4.00043501,1.00000000,52
1,7,2,6,9,0.48139146,0.48139141,1.00000000,62
1,8,1,1,4,3.05693383,4.36302124,0.70064610,124
1,8,1,2,12,3.76303879,3.76303877,1.00000000,114
1,8,2,3,0,0.20572065,0.20572085,0.99999901,47
1,8,2,4,1,3.17365879,3.17365880,1.00000000,77
1,8,2,5,7,3.80247320,4.31115899,0.88200718,52
1,8,2,6,9,0.48287230,0.48287261,0.99999937,62
1,9,1,1,12,6.04831084,6.04831048,1.00000000,145
1,9,1,2,6,3.40214182,3.40214199,0.99999995,93
1,9,2,3,9,2.43398075,2.43398071,1.00000000,103
1,9,2,4,9,1.76253605,1.76253607,0.99999999,42
1,9,2,5,0,1.89903079,1.89903074,1.00000000,33
1,9,2,6,1,0.61937134,0.61937154,0.99999968,60
1,10,1,1,4,2.42534464,3.66064450,0.66254580,124
1,10,1,2,8,3.00820510,3.00820524,0.99999995,114
1,10,2,3,0,0.25910929,0.25910941,0.99999954,47
1,10,2,4,1,2.37607025,2.37607072,0.99999980,77
1,10,2,5,12,2.24448880,2.24448910,0.99999987,50
1,10,2,6,3,0.05702211,0.30015471,0.18997574,64
1,11,1,1,12,4.24929666,4.24929704,0.99999991,145
1,11,1,2,6,2.91754992,2.91754974,1.00000000,93
1,11,2,3,0,2.00030647,2.15620203,0.92769900,103
1,11,2,4,7,1.47230270,1.51914105,0.96916787,42
1,11,2,5,3,1.73741822,1.73741817,1.00000000,33
1,11,2,6,12,0.41242383,0.41242392,0.99999978,60
1,12,1,1,4,1.97469738,3.13989775,0.62890499,124
1,12,1,2,8,2.26466270,2.26466245,1.00000000,114
1,12,2,3,0,0.19198722,0.19198721,1.00000000,47
1,12,2,4,1,1.91390153,1.91390175,0.99999988,77
1,12,2,5,12,1.59300114,1.59300112,1.00000000,50
1,12,2,6,9,0.32926566,0.51279590,0.64209885,64
1,13,1,1,7,3.34710038,3.63581516,0.92059146,145
1,13,1,2,6,2.48062550,2.48062530,1.00000000,93
1,13,2,3,4,3.56414325,4.00008327,0.89101726,76
1,13,2,4,9,1.02166973,1.21938019,0.83785987,69
1,13,2,5,0,1.54673954,1.59525602,0.96958703,33
1,13,2,6,1,0.40761473,0.40761484,0.99999974,60
1,14,1,1,10,1.68352418,1.68352387,1.00000000,124
1,14,1,2,12,1.73606060,1.73606049,1.00000000,114
1,14,2,3,11,1.88840120,1.88840118,1.00000000,71
1,14,2,4,10,1.50927204,1.50927204,1.00000000,53
1,14,2,5,7,2.44075689,2.75140424,0.88709498,52
1,14,2,6,9,0.75495871,0.75495867,1.00000000,62
2,0,0,0,2,68.66932019,68.66932246,0.99999997,238
2,0,1,1,12,12.89649575,12.89649598,0.99999998,121
2,0,1,2,11,21.43622036,21.43622132,0.99999996,117
2,0,2,3,9,1.10420645,3.84345468,0.28729530,87
2,0,2,4,4,4.21403094,4.21403081,1.00000000,34
2,0,2,5,12,13.13459815,13.13459861,0.99999996,52
2,1,1,1,12,9.86154862,9.86154628,1.00000000,121
2,1,1,2,11,15.84304679,15.84304970,0.99999982,117
2,1,2,3,9,0.76859979,3.33488330,0.23047277,87
2,1,2,4,4,3.54824896,3.54824925,0.99999992,34
2,1,2,5,12,10.33316041,10.33315919,1.00000000,52
2,2,1,1,12,7.71825911,7.71826038,0.99999984,121
2,2,1,2,11,12.21224732,12.21225050,0.99999974,117
2,2,2,3,0,1.03016302,1.36981622,0.75204469,87
2,2,2,4,4,3.00268078,3.00268098,0.99999993,34
2,2,2,5,8,9.46236129,9.46236076,1.00000000,52
2,3,1,1,12,6.15981785,6.15981695,1.00000000,121
2,3,1,2,11,9.73781266,9.73781296,0.99999997,117
2,3,2,3,0,0.90963500,1.23110287,0.73887814,87
2,3,2,4,4,2.55325700,2.55325703,0.99999999,34
2,3,2,5,8,7.48067103,7.48067240,0.99999982,52
2,3,2,6,1,0.43624705,0.43624694,1.00000000,65
2,4,1,1,8,6.57939327,6.57939280,1.00000000,135
2,4,1,2,2,7.38463026,7.38463244,0.99999971,103
2,4,2,3,9,3.64786861,4.19333151,0.86992135,110
2,4,2,4,0,5.18687699,5.18687731,0.99999994,25
2,4,2,5,11,2.37683626,2.37683612,1.00000000,34
2,4,2,6,9,2.16584490,2.16584479,1.00000000,69
2,5,1,1,9,4.92805773,5.93983285,0.82966269,121
2,5,1,2,11,7.06035304,7.06035239,1.00000000,117
2,5,2,3,3,3.39991124,3.39991130,0.99999998,110
2,5,2,4,9,0.21143529,0.21143522,1.00000000,11
2,5,2,5,12,5.38744185,5.38744084,1.00000000,52
2,5,2,6,1,0.46323578,0.46323589,0.99999978,65
2,6,1,1,0,5.84066830,7.16096609,0.81562574,135
2,6,1,2,11,5.07113636,5.07113675,0.99999992,103
2,6,2,3,11,2.85660804,2.85660833,0.99999990,74
2,6,2,4,8,3.73831898,3.73831883,1.00000000,61
2,6,2,5,8,4.66794369,4.66794315,1.00000000,47
2,7,1,1,11,6.42130315,6.42130208,1.00000000,163
2,7,1,2,7,2.30716971,2.30716988,0.99999993,75
2,7,2,3,4,1.99083338,2.19597129,0.90658443,112
2,7,2,4,12,3.40026899,3.40026900,1.00000000,51
2,7,2,5,10,0.49503902,0.49503908,0.99999989,57
2,7,2,6,11,0.98894500,0.98894498,1.00000000,18
2,8,1,1,9,3.76389114,4.58030924,0.82175481,121
2,8,1,2,12,4.21938893,4.21938950,0.99999987,117
2,8,2,3,3,2.40708164,2.40708167,0.99999999,110
2,8,2,4,9,0.26584018,0.26584021,0.99999992,11
2,8,2,5,7,3.27484480,3.27484482,1.00000000,56
2,8,2,6,9,1.20674829,1.20674819,1.00000000,61
2,9,1,1,0,4.96053237,6.31757493,0.78519565,135
2,9,1,2,11,3.07063418,3.07063433,0.99999995,103
2,9,2,3,11,2.55859201,2.55859177,1.00000000,82
2,9,2,4,1,2.56521954,2.56521959,0.99999998,53
2,9,2,5,4,2.62831795,3.11294390,0.84431909,47
2,10,1,1,9,3.04015571,3.81203320,0.79751554,121
2,10,1,2,8,3.25151817,3.25151872,0.99999983,117
2,10,2,3,4,1.94529033,2.43931441,0.79747421,110
2,10,2,4,9,0.29423093,0.29423097,0.99999986,11
2,10,2,5,11,2.25445383,2.25445382,1.00000000,55
2,10,2,6,0,0.97685267,1.57315387,0.62095176,62
2,11,1,1,1,4.03237075,4.03237073,1.00000000,163
2,11,1,2,0,1.61831958,2.30819095,0.70112032,75
2,11,2,3,11,1.80847474,1.80847482,0.99999995,64
2,11,2,4,7,3.81907672,5.10096485,0.74869693,99
2,11,2,5,3,1.63197871,1.63197867,1.00000000,27
2,11,2,6,2,0.39306877,0.39306899,0.99999945,48
