split_id,accuracy,auc_roc,f1,n_train,n_test,n_features
0,0.779221,0.879074,0.653061,614,154,8
1,0.766234,0.833333,0.625000,614,154,8
2,0.746753,0.808611,0.628571,614,154,8
3,0.759740,0.832222,0.584270,614,154,8
4,0.759740,0.833704,0.593407,614,154,8
