split_id,n_trees,accuracy,auc_roc,f1
0,1,0.692601,0.692601,0.709919
0,2,0.696138,0.753378,0.666149
0,3,0.692601,0.753378,0.709919
0,4,0.696138,0.753378,0.666149
0,5,0.692601,0.753378,0.709919
0,6,0.696138,0.753378,0.666149
0,7,0.696138,0.778941,0.666149
0,8,0.721955,0.789546,0.721423
0,9,0.717994,0.795177,0.709846
0,10,0.726411,0.800425,0.728790
0,11,0.725421,0.802978,0.725499
0,12,0.725421,0.802212,0.725499
0,13,0.725421,0.802941,0.725499
0,14,0.722450,0.802457,0.719754
0,15,0.725916,0.804091,0.726978
1,1,0.690692,0.690692,0.708913
1,2,0.696775,0.753736,0.667752
1,3,0.690692,0.753736,0.708913
1,4,0.696775,0.753736,0.667752
1,5,0.690692,0.753736,0.708913
1,6,0.696775,0.753736,0.667752
1,7,0.696775,0.777364,0.667752
1,8,0.720682,0.787905,0.720425
1,9,0.717711,0.793413,0.710272
1,10,0.727826,0.798981,0.731360
1,11,0.727189,0.801020,0.728093
1,12,0.714387,0.800143,0.704219
1,13,0.727189,0.800964,0.728093
1,14,0.727826,0.800986,0.729927
1,15,0.730796,0.802809,0.736098
2,1,0.688287,0.688287,0.707700
2,2,0.699462,0.753922,0.670952
2,3,0.688287,0.753922,0.707700
2,4,0.699462,0.753922,0.670952
2,5,0.688287,0.753922,0.707700
2,6,0.699462,0.753922,0.670952
2,7,0.699462,0.779481,0.670952
2,8,0.726553,0.791012,0.726088
2,9,0.720611,0.796690,0.713353
2,10,0.733131,0.802336,0.736357
2,11,0.732140,0.804363,0.733103
2,12,0.717075,0.801838,0.707046
2,13,0.732140,0.804305,0.733103
2,14,0.727755,0.803685,0.725444
2,15,0.731009,0.806254,0.732729
3,1,0.685670,0.685670,0.703021
3,2,0.692884,0.750180,0.660781
3,3,0.685670,0.750180,0.703021
3,4,0.692884,0.750180,0.660781
3,5,0.685670,0.750180,0.703021
3,6,0.692884,0.750180,0.660781
3,7,0.692884,0.774335,0.660781
3,8,0.722238,0.785366,0.720876
3,9,0.715872,0.790605,0.706895
3,10,0.715872,0.786201,0.706895
3,11,0.715872,0.789896,0.706895
3,12,0.714953,0.795982,0.703502
3,13,0.728957,0.799006,0.728727
3,14,0.724572,0.799172,0.723516
3,15,0.727543,0.800070,0.728388
4,1,0.685741,0.685741,0.705469
4,2,0.696350,0.749261,0.667029
4,3,0.685741,0.749261,0.705469
4,4,0.696350,0.749261,0.667029
4,5,0.685741,0.749261,0.705469
4,6,0.696350,0.749261,0.667029
4,7,0.696350,0.774334,0.667029
4,8,0.718914,0.784081,0.719627
4,9,0.713679,0.789281,0.706837
4,10,0.725492,0.794503,0.729867
4,11,0.722379,0.795576,0.720063
4,12,0.722804,0.794448,0.729183
4,13,0.722379,0.795474,0.720063
4,14,0.721884,0.794554,0.721332
4,15,0.724501,0.796819,0.727069
