split_id,accuracy,auc_roc,f1,n_train,n_test,n_features
0,0.744801,0.820653,0.755556,56554,14138,21
1,0.702858,0.704843,0.712004,56554,14138,21
2,0.746074,0.822991,0.758217,56554,14138,21
3,0.592375,0.616840,0.692853,56554,14138,21
4,0.614443,0.593210,0.541123,56554,14138,21
