split_id,accuracy,auc_roc,f1,n_train,n_test,n_features
0,0.792208,0.886574,0.686275,614,154,8
1,0.746753,0.834352,0.589474,614,154,8
2,0.720779,0.803148,0.574257,614,154,8
3,0.753247,0.860648,0.595745,614,154,8
4,0.772727,0.826667,0.639175,614,154,8
