split_id,accuracy,auc_roc,f1,n_train,n_test,n_features
0,0.847458,0.908565,0.830189,238,59,13
1,0.830508,0.920139,0.807692,238,59,13
2,0.728814,0.803819,0.703704,238,59,13
3,0.813559,0.897569,0.784314,238,59,13
4,0.864407,0.944444,0.846154,238,59,13
