split_id,n_train,wall_s,client_stats_s,client_grad_s,server_s,grad_share_calls,hide_path,n_shareholders,threshold
0,238,0.086618,0.000228,0.063507,0.022023,10710,false,3,2
1,238,0.082320,0.000159,0.059483,0.021823,10710,false,3,2
2,238,0.083235,0.000170,0.060992,0.021217,10710,false,3,2
3,238,0.081347,0.000157,0.059559,0.020798,10710,false,3,2
4,238,0.081918,0.000149,0.060072,0.020863,10710,false,3,2
