split_id,accuracy,auc_roc,f1,n_train,n_test,n_features
0,0.830508,0.848958,0.814815,238,59,13
1,0.881356,0.936343,0.872727,238,59,13
2,0.813559,0.815394,0.792453,238,59,13
3,0.830508,0.869792,0.791667,238,59,13
4,0.881356,0.964699,0.862745,238,59,13
