split_id,c2s_bytes,s2a_bytes,broadcast_bytes,total_bytes,hide_path
0,148978480,857520,2351440,152187440,false
1,148978480,857520,2370480,152206480,false
2,148978480,849360,2237200,152065040,false
3,148978480,849360,2332400,152160240,false
4,148978480,857520,2351440,152187440,false
