split_id,accuracy,auc_roc,f1,n_train,n_test,n_features
0,0.813559,0.879630,0.792453,238,59,13
1,0.830508,0.891782,0.814815,238,59,13
2,0.728814,0.784722,0.703704,238,59,13
3,0.796610,0.891204,0.750000,238,59,13
4,0.915254,0.951389,0.897959,238,59,13
