split_id,c2s_bytes,s2a_bytes,broadcast_bytes,total_bytes,hide_path
0,336113424,353120,5501440,341967984,true
1,336113424,353120,5697920,342164464,true
2,336113424,353120,5747040,342213584,true
3,336113424,353120,5747040,342213584,true
4,336113424,353120,5599680,342066224,true
