split_id,accuracy,auc_roc,f1,n_train,n_test,n_features
0,0.964602,0.989437,0.972222,456,113,30
1,0.946903,0.994970,0.958904,456,113,30
2,0.982301,0.979879,0.986111,456,113,30
3,0.946903,0.988095,0.958333,456,113,30
4,0.955752,0.988263,0.965035,456,113,30
