split_id,n_train,wall_s,client_stats_s,client_grad_s,server_s,grad_share_calls,hide_path,n_shareholders,threshold
0,456,0.297148,0.000838,0.235128,0.059904,20520,false,3,2
1,456,0.289066,0.000475,0.227217,0.060073,20520,false,3,2
2,456,0.319938,0.000436,0.252113,0.065935,20520,false,3,2
3,456,0.319797,0.000478,0.251749,0.066123,20520,false,3,2
4,456,0.320543,0.000490,0.252148,0.066464,20520,false,3,2
