split_id,n_train,wall_s,client_stats_s,client_grad_s,server_s,grad_share_calls,hide_path,n_shareholders,threshold
0,56554,34.615549,0.075761,23.086256,11.288535,2544930,false,3,2
1,56554,34.563254,0.048092,22.823424,11.524468,2544930,false,3,2
2,56554,34.031467,0.055519,22.705775,11.106274,2544930,false,3,2
3,56554,34.167980,0.046810,22.581493,11.374602,2544930,false,3,2
4,56554,39.402772,0.055112,25.076220,14.081133,2544930,false,3,2
