split_id,c2s_bytes,s2a_bytes,broadcast_bytes,total_bytes,hide_path
0,1512333120,1972176,5107200,1519412496,true
1,1512333120,1972176,5107200,1519412496,true
2,1512333120,1972176,5143680,1519448976,true
3,1512333120,1972176,5034240,1519339536,true
4,1512333120,1972176,5143680,1519448976,true
