split_id,method,n_trees,accuracy,auc_roc,f1
4,xgb_matched,5,0.724289,0.796188,0.728929
4,xgb_matched,6,0.728038,0.799402,0.739869
4,xgb_matched,7,0.729948,0.802357,0.741957
4,xgb_matched,8,0.733413,0.804240,0.747707
4,xgb_matched,9,0.735394,0.806878,0.751015
4,xgb_matched,10,0.735677,0.808303,0.749816
4,xgb_matched,11,0.736667,0.809308,0.751651
4,xgb_matched,12,0.736313,0.810824,0.750635
4,xgb_matched,13,0.737162,0.811672,0.751571
4,xgb_matched,14,0.739072,0.812316,0.752599
4,xgb_matched,15,0.740770,0.813453,0.753779
4,xgb_default,1,0.734757,0.803148,0.750200
4,xgb_default,2,0.737728,0.808754,0.752833
4,xgb_default,3,0.739779,0.812527,0.752273
4,xgb_default,4,0.741901,0.815270,0.754061
4,xgb_default,5,0.744306,0.816343,0.758242
4,xgb_default,6,0.744023,0.817987,0.757456
4,xgb_default,7,0.743104,0.818875,0.756143
4,xgb_default,8,0.744165,0.819641,0.756579
4,xgb_default,9,0.745438,0.820704,0.758473
4,xgb_default,10,0.746570,0.821315,0.759514
4,xgb_default,11,0.747630,0.821671,0.760858
4,xgb_default,12,0.748550,0.821852,0.761489
4,xgb_default,13,0.747913,0.821928,0.760837
4,xgb_default,14,0.748904,0.822132,0.761393
4,xgb_default,15,0.748267,0.822222,0.760804
