split_id,accuracy,auc_roc,f1,n_train,n_test,n_features
0,0.798701,0.884537,0.699029,614,154,8
1,0.772727,0.826759,0.623656,614,154,8
2,0.766234,0.813148,0.625000,614,154,8
3,0.746753,0.856111,0.561798,614,154,8
4,0.779221,0.822222,0.660000,614,154,8
