split_id,accuracy,auc_roc,f1,n_train,n_test,n_features
0,0.766234,0.877778,0.640000,614,154,8
1,0.772727,0.834907,0.646465,614,154,8
2,0.740260,0.809815,0.622642,614,154,8
3,0.759740,0.838704,0.602151,614,154,8
4,0.766234,0.830093,0.608696,614,154,8
