split_id,c2s_bytes,s2a_bytes,broadcast_bytes,total_bytes,hide_path
0,89387088,245280,1228080,90860448,true
1,89387088,245280,1228080,90860448,true
2,89387088,245280,1228080,90860448,true
3,89387088,245280,1228080,90860448,true
4,89387088,245280,1228080,90860448,true
