split_id,n_trees,accuracy,auc_roc,f1
0,1,0.779661,0.782986,0.723404
0,2,0.796610,0.812500,0.769231
0,3,0.830508,0.837963,0.814815
0,4,0.830508,0.842593,0.814815
0,5,0.830508,0.842593,0.814815
0,6,0.830508,0.841435,0.814815
0,7,0.813559,0.852431,0.800000
0,8,0.813559,0.854745,0.800000
0,9,0.813559,0.854167,0.800000
0,10,0.830508,0.859954,0.814815
0,11,0.813559,0.866898,0.792453
0,12,0.813559,0.872685,0.792453
0,13,0.830508,0.870370,0.814815
0,14,0.813559,0.877315,0.792453
0,15,0.830508,0.877315,0.814815
1,1,0.728814,0.781250,0.652174
1,2,0.728814,0.757523,0.652174
1,3,0.779661,0.816551,0.779661
1,4,0.813559,0.865162,0.800000
1,5,0.762712,0.861690,0.758621
1,6,0.779661,0.872685,0.734694
1,7,0.796610,0.872685,0.793103
1,8,0.779661,0.870370,0.754717
1,9,0.796610,0.891204,0.785714
1,10,0.813559,0.898148,0.807018
1,11,0.830508,0.899306,0.821429
1,12,0.847458,0.906250,0.842105
1,13,0.847458,0.903935,0.842105
1,14,0.864407,0.909144,0.857143
1,15,0.864407,0.913773,0.857143
2,1,0.677966,0.723958,0.512821
2,2,0.745763,0.741319,0.680851
2,3,0.745763,0.770255,0.680851
2,4,0.677966,0.800347,0.595745
2,5,0.728814,0.804398,0.666667
2,6,0.796610,0.793981,0.777778
2,7,0.796610,0.796875,0.777778
2,8,0.813559,0.794560,0.792453
2,9,0.796610,0.811921,0.769231
2,10,0.779661,0.801505,0.754717
2,11,0.779661,0.816551,0.754717
2,12,0.779661,0.811921,0.754717
2,13,0.779661,0.813079,0.754717
2,14,0.762712,0.823495,0.740741
2,15,0.762712,0.820023,0.740741
3,1,0.711864,0.806713,0.564103
3,2,0.779661,0.821759,0.723404
3,3,0.830508,0.864005,0.791667
3,4,0.813559,0.861690,0.784314
3,5,0.796610,0.871528,0.760000
3,6,0.796610,0.873843,0.769231
3,7,0.813559,0.873843,0.775510
3,8,0.796610,0.870370,0.750000
3,9,0.796610,0.868056,0.760000
3,10,0.813559,0.875000,0.775510
3,11,0.813559,0.869213,0.775510
3,12,0.796610,0.869792,0.750000
3,13,0.796610,0.874421,0.760000
3,14,0.813559,0.875579,0.775510
3,15,0.796610,0.880208,0.760000
4,1,0.694915,0.747106,0.571429
4,2,0.694915,0.774306,0.571429
4,3,0.796610,0.885995,0.750000
4,4,0.711864,0.875579,0.604651
4,5,0.711864,0.887153,0.604651
4,6,0.796610,0.899306,0.750000
4,7,0.813559,0.928819,0.775510
4,8,0.813559,0.928819,0.775510
4,9,0.813559,0.927083,0.775510
4,10,0.864407,0.932870,0.833333
4,11,0.881356,0.935185,0.857143
4,12,0.881356,0.935764,0.857143
4,13,0.881356,0.934606,0.857143
4,14,0.881356,0.940394,0.857143
4,15,0.864407,0.938079,0.840000
