split_id,accuracy,auc_roc,f1,n_train,n_test,n_features
0,0.830508,0.877315,0.814815,238,59,13
1,0.864407,0.913773,0.857143,238,59,13
2,0.762712,0.820023,0.740741,238,59,13
3,0.796610,0.880208,0.760000,238,59,13
4,0.864407,0.938079,0.840000,238,59,13
